Year,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%)
2029.1195,36.787457,11.923351,2.895833,3234.9722,2035802000.0,27.948023,16.196892,72.31221
2005.5906,25.225399,9.915727,2.7315798,2398.3643,1148725100.0,21.879705,6.1502857,40.87791
2010.2186,32.529728,13.830934,4.0149426,2802.5269,1316980900.0,48.828445,11.076327,50.900387
2025.1069,34.02416,16.96595,2.7125,3657.6086,502732100.0,21.265005,7.069186,69.57839
2008.3937,19.059875,8.194014,1.7913038,2690.2693,1170237400.0,23.183685,7.2486954,44.806274
2015.8235,30.296036,11.100014,2.625037,2763.7065,1411711500.0,37.51636,6.9905496,54.865417
2004.4669,18.104588,9.227478,1.3510828,2110.4958,907334400.0,32.857437,8.663624,53.89387
2022.8893,26.60577,10.956183,2.5881486,3013.011,456058050.0,31.043442,8.557765,64.53226
2009.7097,34.372982,9.503074,1.8506632,2425.9111,1666037500.0,36.79486,13.802821,61.02257
2006.1641,23.291283,13.767895,2.0590706,2075.2986,1637598300.0,42.438404,9.229891,42.069992
2007.9011,29.476858,6.2095885,1.1664852,2315.9697,1480830300.0,14.93433,4.6041365,37.24744
2008.922,26.238237,9.277215,2.3559241,2652.6833,1112792700.0,26.78112,4.890044,35.856564
2003.1146,21.1413,6.7758927,2.2646723,2176.3794,1132551400.0,34.06827,7.2595677,35.319748
2012.235,26.551214,11.50047,1.155558,1959.3767,1331137000.0,36.507187,8.945411,69.16039
2012.7855,17.917858,15.101695,1.1399343,2439.044,849740540.0,39.036266,10.123352,61.876534
2004.8954,24.11146,8.154994,0.45570517,2091.2854,1091105700.0,18.148512,7.902021,31.751375
2006.4568,31.182512,12.522956,1.6839,2680.8425,649845300.0,27.910042,7.3502574,32.060314
2030.8074,35.996727,12.551716,2.418644,4290.8457,1074023600.0,21.536884,10.226152,76.92748
2009.591,33.14276,6.2856407,1.8376067,2761.6196,1276518300.0,18.973421,8.231173,46.550278
2006.2854,36.906868,14.688983,1.6731608,2871.0544,1115074700.0,29.500494,7.649473,52.73921
2008.1527,29.512756,11.386937,0.7039473,2786.6316,1416520000.0,43.37428,9.363358,53.557182
2016.535,23.610525,12.937381,2.6505747,2865.3496,681864060.0,32.746517,8.093804,72.83313
2015.2672,25.466433,12.50213,2.4425309,2791.2808,1095428200.0,29.530659,6.1694703,46.014473
2015.4147,27.17434,13.698615,1.064596,3212.8135,1556894000.0,12.179077,5.6081476,40.86071
2007.0188,28.541613,10.736195,2.424983,2287.8884,1244147500.0,30.64125,4.87427,22.10051
2004.5328,23.310827,10.377876,0.8233861,1830.3838,1052593600.0,18.830284,1.5393238,31.577805
2008.7899,20.022348,16.677595,0.7540554,2574.7366,1049541100.0,33.383957,11.064896,42.163227
2006.3229,22.684185,15.976981,2.9717515,2916.9778,1367712400.0,46.72054,15.0973835,70.111496
2001.4227,20.762262,10.958001,1.6847289,1982.871,1168707500.0,35.25503,8.843995,41.73775
2007.9371,23.697079,15.058239,1.2593029,2671.6245,1319361800.0,38.08394,10.043514,40.779293
2013.5767,27.105177,14.373122,2.053308,2425.1196,1291506800.0,54.894135,11.441987,42.16761
2005.2183,25.373869,3.973066,1.6308182,1596.6145,1290360000.0,15.801657,7.514963,33.131752
2011.7202,33.588013,17.006424,0.7144488,3235.2078,1370022500.0,28.57817,9.587838,49.22162
2014.9153,14.1935425,13.031184,1.7124784,2722.0776,802901570.0,28.364908,10.713316,65.55891
2002.4952,18.96031,7.3607388,1.7754395,1816.1592,693818100.0,27.769646,5.79254,31.87291
2010.6958,29.058874,13.844009,2.586119,2210.333,1150241700.0,36.83895,6.4383106,48.474213
2008.7991,20.443296,6.744758,1.7124822,2064.3464,1127444200.0,20.514631,5.4497423,16.371458
2008.181,25.77718,11.841767,2.7416205,2144.9749,1105290000.0,41.70503,7.333216,30.569607
2017.0554,34.93383,7.403634,1.8611939,1999.9999,1430728100.0,16.327612,6.725844,59.192116
2011.9211,31.536572,15.507157,1.9284368,3192.9392,1449616800.0,30.121292,9.893227,61.142784
2004.5837,17.816875,4.9977202,1.5977166,1772.5377,945451000.0,20.753464,8.081716,34.82478
2004.515,42.476418,19.243317,1.8150364,3893.6826,1769350900.0,40.565407,7.557022,23.912453
2007.5891,18.971798,4.6561966,1.3091266,1505.5856,1020579400.0,28.479136,5.355337,35.329853
2022.2688,24.427797,9.081432,3.333742,2831.2927,967841900.0,24.078909,6.3543677,61.67053
2006.9214,27.418005,11.556277,1.9526279,2528.1133,913638340.0,43.655155,8.552555,44.67983
2015.2612,39.28477,11.66885,2.5146751,2736.5354,1273409300.0,31.367765,6.42524,47.427025
2006.7491,18.59756,6.811739,1.957484,2528.21,1055170800.0,24.80463,4.1412044,34.01154
2019.9258,40.992477,14.503424,2.3531864,2416.2097,1584494000.0,38.428978,5.867378,55.54855
2021.152,37.63983,19.243895,0.2696284,3533.6372,1602655100.0,41.014782,9.860645,69.48339
2019.3759,26.98068,12.376295,1.0582112,2627.7168,868413760.0,20.648943,5.685716,59.450844
2019.1046,20.844446,9.963368,2.8372536,3983.6562,1107827700.0,21.590145,7.994097,55.1962
1999.2004,24.173595,10.341363,0.8573234,1916.9099,1188275500.0,50.0445,8.4997635,39.592793
2000.9628,19.46861,10.908838,1.6501279,2310.0684,1242654100.0,23.411758,6.3177285,21.6164
2014.4034,23.224308,9.009008,1.8159658,1862.172,966559500.0,27.697039,6.7217617,39.981552
2015.111,28.708101,10.363394,2.3182557,2433.0847,1187768300.0,31.043999,5.43076,32.197388
2012.7572,22.86746,5.4306655,1.6333456,2099.838,1331033000.0,18.370468,4.817491,50.2924
2008.2292,26.509161,8.867291,1.9910328,1864.0798,1678245400.0,34.913143,5.415685,30.526253
2019.6698,28.893494,8.347027,2.2332802,2159.905,1050128900.0,19.326721,3.642003,45.0647
2017.4543,37.535114,17.791454,0.8606355,2652.6614,1315321600.0,32.0915,4.431207,68.462494
2000.4894,26.152493,19.856194,2.11371,2825.936,1670085100.0,66.027985,13.803919,37.545986
2005.7773,20.089472,8.500946,3.6625032,1924.7964,1078038300.0,36.622932,8.255958,18.456285
2010.0107,35.796257,14.137554,1.796091,2572.9375,1551336000.0,42.211662,4.9421525,49.194927
2008.2335,28.769918,4.922648,2.148014,743.90137,1325284700.0,37.853634,8.138945,44.77819
2011.9951,23.305243,11.358999,1.158122,2055.005,1288106100.0,24.296385,7.1430216,31.777449
